Format Version,1.23,Take Name,cam1_output_1778832934,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-15 06:15:35 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,0.193261,-0.571061,-0.314655,0.045974,-0.568514,-0.319537,0.119617,-0.569788,-0.317096,0.126100,-0.596596,-0.255146,0.126412,-0.602008,-0.301808
1,0.1000,0.000000,0.000000,0.000000,0.193009,-0.567163,-0.313405,0.045721,-0.564617,-0.318288,0.119365,-0.565890,-0.315847,0.125848,-0.592699,-0.253896,1.076741,0.291768,0.292976
2,0.2000,0.000000,0.000000,0.000000,0.193198,-0.570086,-0.314343,0.045863,-0.566541,-0.319161,0.119530,-0.568314,-0.316752,0.126144,-0.594637,-0.254642,0.126313,-0.600951,-0.302321
3,0.3000,0.000000,0.000000,0.000000,0.192819,-0.564240,-0.312468,0.045485,-0.560695,-0.317286,0.119152,-0.562468,-0.314877,0.126505,-0.589778,-0.252996,0.125934,-0.595105,-0.300446
4,0.4000,0.000000,0.000000,0.000000,0.192819,-0.564240,-0.312468,0.045485,-0.560695,-0.317286,0.119152,-0.562468,-0.314877,0.126802,-0.591716,-0.253742,0.126159,-0.598110,-0.300558
5,0.5000,0.000000,0.000000,0.000000,0.192946,-0.566189,-0.313093,0.045611,-0.562644,-0.317911,0.119278,-0.564417,-0.315502,0.126739,-0.590742,-0.253429,0.126060,-0.597054,-0.301071
6,0.6000,0.000000,0.000000,0.000000,0.192819,-0.564240,-0.312468,0.045485,-0.560695,-0.317286,0.119152,-0.562468,-0.314877,0.126576,-0.588709,-0.253648,0.125825,-0.596099,-0.300548
7,0.7000,0.000000,0.000000,0.000000,0.193072,-0.568138,-0.313718,0.045737,-0.564592,-0.318536,0.119404,-0.566365,-0.316127,0.126757,-0.593675,-0.254246,0.126187,-0.599002,-0.301696
