time_sec,RV_mm,LV_mm,Aux_mm
9.00006853044033e-07,208.9,209.96015625,209.156640625
0.10057130000495818,209.203125,210.22890625000002,209.471875
0.2005053000029875,209.53125,210.53515625,209.84648437500002
0.3008000000118045,209.81914062500002,210.776171875,210.10273437499998
0.4008563000097638,210.13164062500002,211.05742187500002,210.42421875
0.500272400007816,210.447265625,211.335546875,210.74570312499998
0.6003851000132272,210.781640625,211.654296875,211.1328125
0.700373400002718,211.08476562500002,211.90703125,211.4015625
0.800277600006666,211.409765625,212.19765625,211.733203125
0.9005292000074405,211.74140625,212.49140624999998,212.073828125
1.0006117000011727,212.08828125000002,212.822265625,212.47421875
1.1004744000092614,212.40390625,213.08476562500002,212.75546875
1.200190300005488,212.74140624999998,213.384765625,213.10234375000002
1.300639000008232,213.091796875,213.706640625,213.468359375
1.4007871000067098,213.432421875,214.03125,213.862109375
1.5000897999998415,213.76054687500002,214.30625,214.15625
1.6003085000120336,214.11093749999998,214.61875,214.5125
1.700681500005885,214.4609375,214.930859375,214.875390625
1.80013700001291,214.8109375,215.243359375,215.234765625
1.9007273000024725,215.170703125,215.562109375,215.60078125
2.0017303000058746,215.530078125,215.883984375,215.97265625
2.100338100004592,215.883203125,216.19921875,216.33515624999998
2.200109600002179,216.24609375,216.54296875,216.757421875
2.3000514000013936,216.60546875,216.84609375,217.07929687499998
2.40002730001288,216.97109375000002,217.17070312500002,217.4546875
2.500319500002661,217.337109375,217.498828125,217.8328125
2.6010842000105185,217.71523437500002,217.85820312500002,218.27031250000002
2.700129700009711,218.07734375,218.158203125,218.5921875
2.8002916000114055,218.44921875,218.486328125,218.97382812499998
2.900917600010871,218.823828125,218.823828125,219.35820312500002
3.000856600003317,219.195703125,219.15507812500002,219.739453125
3.1000989000021946,219.56718750000002,219.486328125,220.120703125
3.2003759000072023,219.9578125,219.85820312500002,220.570703125
3.3007390000129817,220.31992187499998,220.158203125,220.89296875
3.4011800000007497,220.701171875,220.498828125,221.28359375
3.5001824000064516,221.07265625,220.8296875,221.66484375000002
3.6013964000012493,221.481640625,221.2171875,222.13359375
3.700564500002656,221.831640625,221.5078125,222.43984375
3.8015043000050355,222.2125,221.8515625,222.83359375
3.900974900010624,222.590625,222.1890625,223.221484375
4.000354200004949,222.971484375,222.5515625,223.662109375
4.101224100013496,223.346484375,222.8671875,224.00273437500002
4.200860300014028,223.74296875,223.2421875,224.458984375
4.301297900005011,224.10546875,223.54218749999998,224.780859375
4.400959700011299,224.483203125,223.87968750000002,225.16484375000002
4.500200400012545,224.8578125,224.2171875,225.55234375
4.600845900000422,225.23906250000002,224.5578125,225.93984375
4.701345900000888,225.616796875,224.8953125,226.33046875000002
4.80119550001109,225.99453125,225.2296875,226.714453125
4.900672300005681,226.384765625,225.6015625,227.16757812499998
5.000386400002753,226.744140625,225.8984375,227.48320312500002
5.100731000013184,227.12812499999998,226.2640625,227.930078125
5.200038800001494,227.490234375,226.5671875,228.2515625
5.301800100001856,227.865234375,226.9046875,228.6390625
5.400779500007047,228.23046875,227.2328125,229.0140625
5.500263500012807,228.59882812499998,227.5609375,229.39531250000002
5.600148500001524,228.964453125,227.8890625,229.773046875
5.700703900001827,229.33281250000002,228.2171875,230.154296875
5.800072800004273,229.694921875,228.54218749999998,230.526171875
5.900882400004775,230.07890625,228.9171875,230.985546875
6.000654100003885,230.41953125,229.1890625,231.26953125
6.1014771000045585,230.78203125,229.5109375,231.64140625
6.201137200012454,231.14140625,229.82968749999998,232.00703124999998
6.300779800003511,231.49765624999998,230.14531250000002,232.37226562499998
6.400692300012452,231.85078125,230.4578125,232.734765625
6.500339700010954,232.20078124999998,230.7703125,233.091015625
6.600927700012107,232.55078125,231.08281250000002,233.453515625
6.700453700002981,232.89140625,231.3890625,233.803125
6.800510000000941,233.23203125,231.69843749999998,234.15625
6.900679100013804,233.57890625,232.033203125,234.571875
7.0006652000010945,233.91015625,232.30507812500002,234.853125
7.100975900000776,234.24453125,232.605078125,235.19648437499998
7.200833100010641,234.57578125,232.89882812500002,235.53398437500002
7.300423500011675,234.90078125,233.19257812499998,235.868359375
7.400174300011713,235.22578124999998,233.48007812499998,236.20234374999998
7.500368400011212,235.55078125,233.770703125,236.53359375
7.600369800013141,235.86953125,234.05507812500002,236.85859375
7.7007735000079265,236.19453125,234.364453125,237.240234375
7.8014208000095095,236.50078125,234.617578125,237.505859375
7.900114200005191,236.82265625000002,234.920703125,237.880859375
8.000788300007116,237.113671875,235.161328125,238.137109375
8.10091450001346,237.416796875,235.43046875000002,238.446875
8.200374000007287,237.710546875,235.91484375,239.00625
8.300150900002336,238.0015625,235.95234374999998,239.05
8.400130500012892,238.2921875,236.21171875,239.347265625
8.500256500003161,238.576953125,236.47109375,239.64101562500002
8.60102580000239,238.858203125,236.72421875,239.931640625
8.701006200004485,239.136328125,236.97109375,240.21640624999998
8.801003100001253,239.40546874999998,237.21796875,240.49453125
8.901029800006654,239.68046875,237.467578125,240.78203125
9.000330200011376,239.94648437499998,237.714453125,241.069921875
9.100283400010085,240.202734375,237.939453125,241.58242187500002
9.214645200001542,240.490234375,238.180078125,241.60429687500002
9.30034390000219,240.703125,238.367578125,241.82343749999998
9.400900300010107,240.95,238.5890625,242.0796875
9.501418200001353,241.19375000000002,238.8046875,242.3296875
9.601086800001212,241.43476562499998,239.0296875,242.5859375
9.700901400006842,241.656640625,239.2203125,242.805078125
9.800842200012994,241.88164062500002,239.573046875,243.223828125
9.901100300005055,242.10078125,239.619921875,243.261328125
10.000935000003665,242.31640625,239.81367187499998,243.483203125
10.102357900002971,242.52890625,240.001171875,243.70234374999998
10.200481500010937,242.73203125,240.182421875,243.90859375000002
10.300770500005456,242.932421875,240.366796875,244.12421875
10.401227800000925,243.12929687500002,240.53828125,244.337109375
10.500198200010345,243.316796875,240.70078125,244.51210937500002
10.600290700007463,243.50078125,240.86640625,244.699609375
10.700649500009604,243.68203125,241.02578125,244.88125
10.800687500013737,243.85390625,241.17890624999998,245.059375
10.90098270001181,244.02226562500002,241.38828125,245.309375
11.00081610000052,244.18476562499998,241.47578124999998,245.4
11.103823400000692,244.34414062500002,241.619140625,245.566015625
11.205506300000707,244.5,241.762890625,245.737890625
11.300527000013972,244.63750000000002,241.88164062500002,245.862890625
11.400608900003135,244.775,242.087890625,246.11015625
11.50080710000475,244.909375,242.128515625,246.14453125
11.60039640001196,245.046484375,242.259765625,246.29765625
11.70139200000267,245.162109375,242.353515625,246.40390625
11.80116880001151,245.280859375,242.456640625,246.52265625
11.90025410000817,245.39023437499998,242.556640625,246.63515625
12.001042500007316,245.493359375,242.65,246.741796875
12.100231600008556,245.58984375,242.734375,246.838671875
12.200857200004975,245.68359375,242.815625,246.932421875
12.300551899999846,245.77109375,242.89687500000002,247.02617187500002
12.40128810000897,245.84921874999998,242.965625,247.101171875
12.500572700009798,245.92109375,243.03125,247.176171875
12.600742800001171,245.99296875000002,243.09062500000002,247.248046875
12.700372999999672,246.05546875000002,243.153125,247.31992187499998
12.800075100007234,246.111328125,243.196875,247.37031249999998
12.901000200014096,246.164453125,243.240625,247.4234375
13.000453700005892,246.20820312499998,243.28125,247.4703125
13.100284200001624,246.245703125,243.3125,247.5078125
13.201265499999863,246.27382812500002,243.3375,247.5359375
13.300201100006234,246.295703125,243.359375,247.5578125
13.400903600006131,246.31132812500002,243.375,247.57343749999998
13.501037900001393,246.323828125,243.38437499999998,247.5828125
13.601200500008417,246.333203125,243.39374999999998,247.5953125
13.700494700009585,246.345703125,243.4125,247.6015625
13.801209400000516,246.380078125,243.49375,247.6015625
13.901017900003353,246.417578125,243.59062500000002,247.5921875
14.002795300009893,246.445703125,243.6625,247.5828125
14.100456000000122,246.445703125,243.665625,247.5796875
14.20052100000612,246.395703125,243.515625,247.5890625
14.301676500006579,246.280078125,243.225,247.6328125
14.400454500006163,246.101953125,242.740625,247.7578125
14.501430400006939,245.87421875,242.112890625,247.9296875
14.600491900011548,245.61796875,241.40703125,248.086328125
14.70083380000142,245.340234375,240.71015625,248.148828125
