Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.19,202.00,0.17,200.00,0.19
0.60,200.11,0.37,202.10,0.33,200.11,0.38
1.20,200.45,0.74,202.40,0.66,200.46,0.76
1.80,201.00,1.10,202.89,0.98,201.02,1.13
2.40,201.76,1.45,203.58,1.29,201.81,1.49
3.00,202.74,1.78,204.44,1.59,202.81,1.83
3.60,203.90,2.10,205.49,1.88,204.01,2.16
4.20,205.26,2.40,206.70,2.15,205.40,2.47
4.80,206.79,2.68,208.06,2.39,206.97,2.75
5.40,208.47,2.93,209.57,2.61,208.70,3.01
6.00,210.30,3.15,211.20,2.81,210.58,3.23
6.60,212.25,3.34,212.94,2.98,212.58,3.43
7.20,214.30,3.50,214.78,3.12,214.69,3.59
7.80,216.44,3.62,216.69,3.24,216.89,3.72
8.40,218.65,3.71,218.66,3.32,219.16,3.81
9.00,220.90,3.77,220.67,3.37,221.47,3.87
9.60,223.17,3.78,222.70,3.38,223.80,3.89
10.20,225.44,3.77,224.73,3.37,226.13,3.87
10.80,227.69,3.71,226.74,3.32,228.44,3.81
11.40,229.89,3.62,228.71,3.24,230.71,3.72
12.00,232.04,3.50,230.62,3.12,232.91,3.59
12.60,234.09,3.34,232.46,2.98,235.02,3.43
13.20,236.04,3.15,234.20,2.81,237.02,3.23
13.80,237.87,2.93,235.83,2.61,238.90,3.01
14.40,239.55,2.68,237.34,2.39,240.63,2.75
15.00,241.08,2.40,238.70,2.15,242.20,2.47
15.60,242.43,2.10,239.91,1.88,243.59,2.16
16.20,243.60,1.78,240.95,1.59,244.79,1.83
16.80,244.57,1.45,241.82,1.29,245.79,1.49
17.40,245.34,1.10,242.51,0.98,246.58,1.13
18.00,245.89,0.74,243.00,0.66,247.14,0.76
18.60,246.23,0.37,243.30,0.33,247.49,0.38
19.20,246.34,0.09,243.40,0.08,247.60,0.10
19.80,246.34,-1.19,243.40,-3.05,247.60,0.33
20.40,244.91,-2.68,239.74,-5.66,247.99,-2.49
21.00,243.12,-3.32,236.60,-3.15,244.61,-6.99
21.60,240.93,-2.88,235.96,-0.71,239.61,-6.68
22.20,239.66,-2.03,235.76,-1.12,236.59,-5.01
22.80,238.50,-2.20,234.62,-3.09,233.60,-5.21
23.40,237.02,-2.36,232.05,-5.07,230.34,-5.71
24.00,235.66,-2.08,228.53,-5.49,226.75,-6.19
24.60,234.53,-1.78,225.46,-4.40,222.91,-6.54
25.20,233.53,-2.13,223.25,-3.95,218.90,-6.84
25.80,231.97,-2.95,220.71,-4.84,214.70,-7.02
26.40,229.99,-3.39,217.44,-5.27,210.48,-6.53
27.00,227.89,-3.27,214.39,-4.75,206.87,-5.62
27.60,226.07,-3.04,211.74,-3.91,203.74,-5.41
28.20,224.24,-2.47,209.70,-3.47,200.37,-3.11
28.80,223.10,-1.83,207.58,-3.12,200.01,-0.31
29.40,222.05,-1.58,205.95,-2.14,200.00,-0.01
30.00,221.21,-1.01,205.01,-1.06,200.00,-0.00
30.60,220.84,-0.74,204.69,0.13,200.00,0.00
31.20,220.32,2.29,205.17,3.04,200.00,5.53
31.80,223.58,4.63,208.33,4.87,206.63,13.07
32.40,225.87,2.92,211.01,4.60,215.69,11.37
33.00,227.09,2.51,213.84,3.59,220.28,7.01
33.60,228.89,3.30,215.32,2.21,224.10,7.04
34.20,231.05,3.21,216.50,3.43,228.72,6.40
34.80,232.74,2.97,219.44,5.35,231.78,4.76
35.40,234.61,3.17,222.92,5.77,234.44,3.95
36.00,236.54,2.83,226.36,5.57,236.52,2.54
36.60,238.01,1.89,229.61,4.77,237.48,1.11
37.20,238.80,0.92,232.09,3.54,237.85,0.51
37.80,239.11,0.46,233.85,2.64,238.10,0.37
38.40,239.35,0.52,235.26,2.05,238.30,0.46
39.00,239.73,0.57,236.31,1.54,238.65,0.58
39.60,240.04,0.53,237.11,1.07,238.99,0.64
40.20,240.36,0.54,237.59,0.61,239.42,0.75
40.80,240.68,0.46,237.85,0.35,239.89,0.73
41.40,240.92,0.31,238.01,0.40,240.29,0.54
42.00,241.05,0.20,238.33,0.58,240.54,0.42
42.60,241.16,0.15,238.71,0.72,240.80,0.28
43.20,241.23,0.18,239.20,0.91,240.87,0.18
43.80,241.38,0.46,239.80,1.74,241.02,0.29
44.40,241.78,0.78,241.29,2.59,241.22,0.43
45.00,242.32,0.90,242.90,2.09,241.54,0.88
45.60,242.86,0.98,243.79,0.58,242.27,1.85
46.20,243.49,1.29,243.59,-1.01,243.76,2.64
46.80,244.40,1.73,242.58,-1.51,245.44,2.93
47.40,245.57,1.51,241.78,-0.61,247.28,2.12
48.00,246.22,0.71,241.85,0.56,247.99,0.60
48.60,246.42,-0.06,242.45,1.04,248.00,0.01
49.20,246.15,-0.07,243.10,0.79,248.00,-0.33
49.80,246.34,-1.03,243.40,-2.80,247.60,-0.00
50.40,244.91,-2.68,239.74,-5.66,247.99,-2.49
51.00,243.12,-3.32,236.60,-3.15,244.61,-6.99
51.60,240.93,-2.88,235.96,-0.71,239.61,-6.68
52.20,239.66,-2.03,235.76,-1.12,236.59,-5.01
52.80,238.50,-2.20,234.62,-3.09,233.60,-5.21
53.40,237.02,-2.36,232.05,-5.07,230.34,-5.71
54.00,235.66,-2.08,228.53,-5.49,226.75,-6.19
54.60,234.53,-1.78,225.46,-4.40,222.91,-6.54
55.20,233.53,-2.13,223.25,-3.95,218.90,-6.84
55.80,231.97,-2.95,220.71,-4.84,214.70,-7.02
56.40,229.99,-3.39,217.44,-5.27,210.48,-6.53
57.00,227.89,-3.27,214.39,-4.75,206.87,-5.62
57.60,226.07,-3.04,211.74,-3.91,203.74,-5.41
58.20,224.24,-2.47,209.70,-3.47,200.37,-3.11
58.80,223.10,-1.83,207.58,-3.12,200.01,-0.31
59.40,222.05,-1.58,205.95,-2.14,200.00,-0.01
60.00,221.21,-1.01,205.01,-1.06,200.00,-0.00
