Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,2.5,0.096824,-0.07142,0.063972,-0.052198,-0.080955,0.057616,0.022313,-0.076187,0.060794,-0.002572,-0.161583,0.143962,0.030837,-0.160988,0.143473,0.000557,-0.16441,0.096481,0.027384,-0.165994,0.095575
26,2.6,0.096737,-0.070975,0.064017,-0.052375,-0.081638,0.057471,0.022181,-0.076306,0.060744,-0.00255,-0.161528,0.143458,0.030827,-0.160998,0.143459,0.000518,-0.164492,0.096963,0.027346,-0.166073,0.096052
27,2.7,0.096895,-0.072232,0.063813,-0.052217,-0.080972,0.057586,0.022339,-0.076602,0.060699,-0.002608,-0.161563,0.143933,0.030801,-0.160968,0.143454,0.0006,-0.163431,0.097026,0.02733,-0.166029,0.096045
28,2.8,0.096735,-0.07078,0.064059,-0.052167,-0.080855,0.057579,0.022284,-0.075817,0.060819,-0.002661,-0.162522,0.143457,0.030823,-0.160968,0.143435,0.000647,-0.163355,0.096516,0.027409,-0.165885,0.095044
29,2.9,0.096801,-0.071382,0.063967,-0.052133,-0.080721,0.057633,0.022334,-0.076052,0.0608,-0.002596,-0.161514,0.143962,0.030813,-0.160916,0.143486,0.00055,-0.16433,0.096482,0.027346,-0.165981,0.096077
30,3,0.096835,-0.071684,0.063865,-0.052053,-0.080427,0.05766,0.022391,-0.076055,0.060763,-0.002673,-0.162557,0.143446,0.030811,-0.161007,0.143419,0.000595,-0.163462,0.097,0.027863,-0.16607,0.095039
31,3.1,0.096715,-0.070729,0.06408,-0.052213,-0.08109,0.057522,0.022251,-0.075909,0.060801,-0.003148,-0.162387,0.143464,0.030808,-0.160973,0.14346,0.000643,-0.163372,0.096534,0.026866,-0.165893,0.096039
32,3.2,0.096686,-0.070773,0.064087,-0.05218,-0.08085,0.057565,0.022253,-0.075811,0.060826,-0.002751,-0.162652,0.143963,0.030765,-0.161028,0.143461,0.000503,-0.164444,0.096456,0.027773,-0.166242,0.096063
33,3.3,0.096772,-0.071089,0.064057,-0.052174,-0.080781,0.057587,0.022299,-0.075935,0.060822,-0.002641,-0.161529,0.143987,0.030768,-0.160939,0.143509,0.000502,-0.164357,0.096508,0.027329,-0.165946,0.09561
34,3.4,0.096797,-0.070994,0.063987,-0.052048,-0.080478,0.057698,0.022375,-0.075736,0.060843,-0.003081,-0.162404,0.143443,0.030875,-0.160988,0.143427,0.000596,-0.164396,0.096434,0.027891,-0.167083,0.094966
