Format Version,1.23,Take Name,heart_sim_output_1779084939,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-18 04:15:39 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,0.160927,-0.600832,-0.246688,0.158867,-0.605642,-0.293135
1,0.1000,0.000000,0.000000,0.000000,,,,,,,,,,0.161153,-0.606934,-0.248073,0.159220,-0.610716,-0.294476
2,0.2000,0.000000,0.000000,0.000000,,,,,,,,,,0.161056,-0.599812,-0.246589,0.158995,-0.604614,-0.293091
3,0.3000,0.000000,0.000000,0.000000,,,,,,,,,,0.161469,-0.610998,-0.249128,0.159408,-0.615801,-0.295630
4,0.4000,0.000000,0.000000,0.000000,,,,,,,,,,0.161281,-0.605913,-0.247974,0.159220,-0.610716,-0.294476
5,0.5000,0.000000,0.000000,0.000000,,,,,,,,,,0.161356,-0.607947,-0.248435,0.159295,-0.612750,-0.294937
6,0.6000,0.000000,0.000000,0.000000,,,,,,,,,,0.161131,-0.601845,-0.247050,0.159070,-0.606648,-0.293553
7,0.7000,0.000000,0.000000,0.000000,,,,,,,,,,0.161206,-0.603879,-0.247512,0.159145,-0.608682,-0.294014
8,0.8000,0.000000,0.000000,0.000000,,,,,,,,,,0.161394,-0.608964,-0.248666,0.159333,-0.613767,-0.295168
9,0.9000,0.000000,0.000000,0.000000,,,,,,,,,,0.161169,-0.602862,-0.247281,0.159108,-0.607665,-0.293783
10,1.0000,0.000000,0.000000,0.000000,,,,,,,,,,0.161169,-0.602862,-0.247281,0.159108,-0.607665,-0.293783
11,1.1000,0.000000,0.000000,0.000000,,,,,,,,,,0.161265,-0.609985,-0.248765,0.159205,-0.614794,-0.295212
12,1.2000,0.000000,0.000000,0.000000,,,,,,,,,,0.161356,-0.607947,-0.248435,0.159295,-0.612750,-0.294937
