Format Version,1.23,Take Name,cam1_output_1779078914,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-18 02:35:15 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,0.188070,-0.598054,-0.298963,0.031229,-0.584256,-0.300683,0.109650,-0.591155,-0.299823,0.120324,-0.611738,-0.210510,0.117122,-0.623858,-0.275767
1,0.1000,0.000000,0.000000,0.000000,0.188077,-0.604061,-0.300050,0.031403,-0.589275,-0.301761,0.109740,-0.596668,-0.300906,0.120410,-0.617750,-0.211706,0.117380,-0.627881,-0.276808
2,0.2000,0.000000,0.000000,0.000000,0.188208,-0.602069,-0.299826,0.031368,-0.588271,-0.301546,0.109788,-0.595170,-0.300686,0.120462,-0.615754,-0.211373,0.117345,-0.626877,-0.276592
3,0.3000,0.000000,0.000000,0.000000,0.188243,-0.603074,-0.300042,0.031403,-0.589275,-0.301761,0.109823,-0.596174,-0.300902,0.120410,-0.617750,-0.211706,0.117380,-0.627881,-0.276808
4,0.4000,0.000000,0.000000,0.000000,0.188139,-0.600062,-0.299395,0.031299,-0.586263,-0.301114,0.109719,-0.593163,-0.300254,0.120393,-0.613746,-0.210942,0.117276,-0.624869,-0.276161
5,0.5000,0.000000,0.000000,0.000000,0.188139,-0.600062,-0.299395,0.031299,-0.586263,-0.301114,0.109719,-0.593163,-0.300254,0.120306,-0.614738,-0.211059,0.117276,-0.624869,-0.276161
6,0.6000,0.000000,0.000000,0.000000,0.188139,-0.600062,-0.299395,0.031299,-0.586263,-0.301114,0.109719,-0.593163,-0.300254,0.120306,-0.614738,-0.211059,0.117191,-0.625866,-0.276198
7,0.7000,0.000000,0.000000,0.000000,0.187973,-0.601049,-0.299403,0.031299,-0.586263,-0.301114,0.109636,-0.593656,-0.300259,0.120306,-0.614738,-0.211059,0.117276,-0.624869,-0.276161
